PK,ARA,Subject Node Name,Subject Node ID,Subject Node Category,Object Node Name,Object Node ID,Object Node Category,Rank,Sugeno Score,Confidence Score,Novelty Score,Clinical Evidence Score,Weighted Mean Score,Normalized Score,ARAX,ARAX Score,Unsecret,Unsecret Score,Improving Agent,Improving Agent Score,BioThings Explorer,BioThings Explorer Score,Aragorn,Aragorn Score,ARA Count,Result Counter,Edge ID,Edge Object,Edge Object Node Name,Edge Object Node Category,Edge Subject,Edge Subject Node Name,Edge Subject Node Category,Predicate,Edge Type,Qualified Predicate,Human Readable Phrase,Publications Count,Primary Source,Aggregator 1,Aggregator 2
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,inferred-CHEBI:31902-affects-NCBIGene:7531,NCBIGene:7531,YWHAE,biolink:NamedThing,CHEBI:31902,Nicergoline,biolink:SmallMolecule,biolink:affects,creative,causes,Nicergoline causes increased activity or abundance of YWHAE,,infores:biothings-explorer,,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,60c80e1f3047379de37d792b9c1a7631,NCBIGene:7531,YWHAE,biolink:NamedThing,NCBIGene:9325,TRIP4,biolink:Gene,biolink:regulates,one-hop,causes,TRIP4 downregulated downregulated activity or abundance of YWHAE,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,3a0be31654adbb7d4a95cfe0295ee9ef,NCBIGene:7531,YWHAE,biolink:NamedThing,NCBIGene:56301,SLC7A10,biolink:Gene,biolink:regulates,one-hop,causes,SLC7A10 downregulated downregulated activity or abundance of YWHAE,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,3426925fb450afa992317ea226e84b63,NCBIGene:9325,TRIP4,biolink:Gene,CHEBI:31902,Nicergoline,biolink:SmallMolecule,biolink:affects,one-hop,causes,Nicergoline causes decreased activity or abundance of TRIP4,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,4a74e04d46042b3e57cc6e47f1cf36c6,NCBIGene:56301,SLC7A10,biolink:Gene,CHEBI:31902,Nicergoline,biolink:SmallMolecule,biolink:affects,one-hop,causes,Nicergoline causes decreased activity or abundance of SLC7A10,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,medik:creative_edge#1,NCBIGene:7531,YWHAE,biolink:NamedThing,CHEBI:31902,Nicergoline,biolink:SmallMolecule,biolink:affects,creative,causes,Nicergoline causes increased activity or abundance of YWHAE,,infores:unsecret-agent,,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,medik:edge#2,NCBIGene:56301,SLC7A10,biolink:Gene,CHEBI:31902,Nicergoline,biolink:SmallMolecule,biolink:affects,one-hop,causes,Nicergoline causes decreased activity or abundance of SLC7A10,1,infores:text-mining-provider-targeted,infores:unsecret-agent,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,medik:edge#3,NCBIGene:7531,YWHAE,biolink:NamedThing,NCBIGene:56301,SLC7A10,biolink:Gene,biolink:affects,one-hop,causes,SLC7A10 causes decreased activity or abundance of YWHAE,1,infores:text-mining-provider-targeted,infores:unsecret-agent,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,medik:creative_edge#7,NCBIGene:7531,YWHAE,biolink:NamedThing,CHEBI:31902,Nicergoline,biolink:SmallMolecule,biolink:affects,creative,causes,Nicergoline causes increased activity or abundance of YWHAE,,infores:unsecret-agent,,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,medik:edge#14,NCBIGene:9325,TRIP4,biolink:Gene,CHEBI:31902,Nicergoline,biolink:SmallMolecule,biolink:affects,one-hop,causes,Nicergoline causes decreased activity or abundance of TRIP4,1,infores:text-mining-provider-targeted,infores:unsecret-agent,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Nicergoline,CHEBI:31902,biolink:SmallMolecule,1,1,1,,,0.5,53.333,,,true,1,,,true,0.172,,,2,1,medik:edge#15,NCBIGene:7531,YWHAE,biolink:NamedThing,NCBIGene:9325,TRIP4,biolink:Gene,biolink:affects,one-hop,causes,TRIP4 causes decreased activity or abundance of YWHAE,1,infores:text-mining-provider-targeted,infores:unsecret-agent,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:improving-agent,Rebamipide,CHEBI:32090,biolink:SmallMolecule,YWHAE,NCBIGene:7531,biolink:NamedThing,2,1,1,,,0.5,100,,,,,true,1,,,,,1,2,inferred_edge_0-0,NCBIGene:7531,YWHAE,biolink:NamedThing,CHEBI:32090,Rebamipide,biolink:SmallMolecule,biolink:affects,creative,causes,Rebamipide causes increased activity or abundance of YWHAE,,infores:improving-agent,,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:improving-agent,Rebamipide,CHEBI:32090,biolink:SmallMolecule,YWHAE,NCBIGene:7531,biolink:NamedThing,2,1,1,,,0.5,100,,,,,true,1,,,,,1,2,26432658-i0,NCBIGene:5588,PRKCQ,biolink:Gene,CHEBI:32090,Rebamipide,biolink:SmallMolecule,biolink:affects,one-hop,causes,Rebamipide causes decreased expression of PRKCQ,,infores:lincs,infores:spoke,infores:improving-agent
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:improving-agent,Rebamipide,CHEBI:32090,biolink:SmallMolecule,YWHAE,NCBIGene:7531,biolink:NamedThing,2,1,1,,,0.5,100,,,,,true,1,,,,,1,2,24993571-i0,NCBIGene:5588,PRKCQ,biolink:Gene,NCBIGene:7531,YWHAE,biolink:NamedThing,biolink:regulates,one-hop,causes,YWHAE causes decreased activity or abundance of PRKCQ,,infores:lincs,infores:spoke,infores:improving-agent
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,inferred-CHEBI:27882-affects-NCBIGene:7531,NCBIGene:7531,YWHAE,biolink:NamedThing,CHEBI:27882,Colchicine,biolink:SmallMolecule,biolink:affects,creative,causes,Colchicine causes increased activity or abundance of YWHAE,,infores:biothings-explorer,,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,60c80e1f3047379de37d792b9c1a7631,NCBIGene:7531,YWHAE,biolink:NamedThing,NCBIGene:9325,TRIP4,biolink:Gene,biolink:regulates,one-hop,causes,TRIP4 downregulated downregulated activity or abundance of YWHAE,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,3a0be31654adbb7d4a95cfe0295ee9ef,NCBIGene:7531,YWHAE,biolink:NamedThing,NCBIGene:56301,SLC7A10,biolink:Gene,biolink:regulates,one-hop,causes,SLC7A10 downregulated downregulated activity or abundance of YWHAE,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,380c46ad81bacc5a1e21aeecabbe5127,NCBIGene:9325,TRIP4,biolink:Gene,CHEBI:27882,Colchicine,biolink:SmallMolecule,biolink:affects,one-hop,causes,Colchicine causes decreased activity or abundance of TRIP4,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,ef89ce7feea4f7e2d332e832eac3cd2b,NCBIGene:56301,SLC7A10,biolink:Gene,CHEBI:27882,Colchicine,biolink:SmallMolecule,biolink:affects,one-hop,causes,Colchicine causes decreased activity or abundance of SLC7A10,1,infores:text-mining-provider-targeted,infores:biothings-explorer,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,medik:creative_edge#2,NCBIGene:7531,YWHAE,biolink:NamedThing,CHEBI:27882,Colchicine,biolink:SmallMolecule,biolink:affects,creative,causes,Colchicine causes increased activity or abundance of YWHAE,,infores:unsecret-agent,,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,medik:edge#4,NCBIGene:56301,SLC7A10,biolink:Gene,CHEBI:27882,Colchicine,biolink:SmallMolecule,biolink:affects,one-hop,causes,Colchicine causes decreased activity or abundance of SLC7A10,1,infores:text-mining-provider-targeted,infores:unsecret-agent,
80ea560d-1a2d-443f-a343-15f933f7ea90,infores:unsecret-agent,YWHAE,NCBIGene:7531,biolink:NamedThing,Colchicine,CHEBI:27882,biolink:SmallMolecule,3,0.989,0.989,,,0.495,53.333,,,true,0.987,,,true,0.172,,,2,3,medik:edge#5,NCBIGene:7531,YWHAE,biolink:NamedThing,NCBIGene:56301,SLC7A10,biolink:Gene,biolink:affects,one-hop,causes,SLC7A10 causes decreased activity or abundance of YWHAE,1,infores:text-mining-provider-targeted,infores:unsecret-agent,
